Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
PM2.5,2013-12-05 03:00,2013,12,5,3,70,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 04:00,2013,12,5,4,33,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 05:00,2013,12,5,5,25,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 06:00,2013,12,5,6,39,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 07:00,2013,12,5,7,33,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 08:00,2013,12,5,8,27,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 09:00,2013,12,5,9,25,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 10:00,2013,12,5,10,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 11:00,2013,12,5,11,9,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 12:00,2013,12,5,12,10,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 13:00,2013,12,5,13,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 14:00,2013,12,5,14,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 15:00,2013,12,5,15,13,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 16:00,2013,12,5,16,17,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 17:00,2013,12,5,17,32,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 18:00,2013,12,5,18,62,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 19:00,2013,12,5,19,42,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 20:00,2013,12,5,20,59,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 21:00,2013,12,5,21,66,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 22:00,2013,12,5,22,77,µg/m³,1 Hr,Valid
PM2.5,2013-12-05 23:00,2013,12,5,23,84,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 00:00,2013,12,6,0,91,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 01:00,2013,12,6,1,112,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 02:00,2013,12,6,2,130,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 03:00,2013,12,6,3,139,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 04:00,2013,12,6,4,155,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 05:00,2013,12,6,5,163,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 06:00,2013,12,6,6,141,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 07:00,2013,12,6,7,182,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 08:00,2013,12,6,8,138,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 09:00,2013,12,6,9,119,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 10:00,2013,12,6,10,135,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 11:00,2013,12,6,11,159,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 12:00,2013,12,6,12,122,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 13:00,2013,12,6,13,81,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 14:00,2013,12,6,14,167,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 15:00,2013,12,6,15,246,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 16:00,2013,12,6,16,224,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 17:00,2013,12,6,17,115,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 18:00,2013,12,6,18,124,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 19:00,2013,12,6,19,152,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 20:00,2013,12,6,20,170,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 21:00,2013,12,6,21,269,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 22:00,2013,12,6,22,294,µg/m³,1 Hr,Valid
PM2.5,2013-12-06 23:00,2013,12,6,23,330,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 00:00,2013,12,7,0,407,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 01:00,2013,12,7,1,430,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 02:00,2013,12,7,2,415,µg/m³,1 Hr,Valid
PM2.5,2013-12-07 03:00,2013,12,7,3,343,µg/m³,1 Hr,Valid
