Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
PM2.5,2013-12-27 07:00,2013,12,27,7,18,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 08:00,2013,12,27,8,24,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 09:00,2013,12,27,9,25,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 10:00,2013,12,27,10,21,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 11:00,2013,12,27,11,23,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 12:00,2013,12,27,12,27,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 13:00,2013,12,27,13,18,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 14:00,2013,12,27,14,15,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 15:00,2013,12,27,15,20,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 16:00,2013,12,27,16,27,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 17:00,2013,12,27,17,30,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 18:00,2013,12,27,18,54,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 19:00,2013,12,27,19,64,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 20:00,2013,12,27,20,126,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 21:00,2013,12,27,21,108,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 22:00,2013,12,27,22,45,µg/m³,1 Hr,Valid
PM2.5,2013-12-27 23:00,2013,12,27,23,30,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 00:00,2013,12,28,0,21,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 01:00,2013,12,28,1,14,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 02:00,2013,12,28,2,12,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 03:00,2013,12,28,3,14,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 04:00,2013,12,28,4,17,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 05:00,2013,12,28,5,13,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 06:00,2013,12,28,6,15,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 07:00,2013,12,28,7,17,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 08:00,2013,12,28,8,21,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 09:00,2013,12,28,9,17,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 10:00,2013,12,28,10,14,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 11:00,2013,12,28,11,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 12:00,2013,12,28,12,11,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 13:00,2013,12,28,13,15,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 14:00,2013,12,28,14,21,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 15:00,2013,12,28,15,14,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 16:00,2013,12,28,16,20,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 17:00,2013,12,28,17,22,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 18:00,2013,12,28,18,30,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 19:00,2013,12,28,19,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-28 20:00,2013,12,28,20,38,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 21:00,2013,12,28,21,38,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 22:00,2013,12,28,22,48,µg/m³,1 Hr,Valid
PM2.5,2013-12-28 23:00,2013,12,28,23,58,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 00:00,2013,12,29,0,64,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 01:00,2013,12,29,1,74,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 02:00,2013,12,29,2,77,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 03:00,2013,12,29,3,32,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 04:00,2013,12,29,4,27,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 05:00,2013,12,29,5,24,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 06:00,2013,12,29,6,33,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 07:00,2013,12,29,7,60,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 08:00,2013,12,29,8,77,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 09:00,2013,12,29,9,84,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 10:00,2013,12,29,10,67,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 11:00,2013,12,29,11,59,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 12:00,2013,12,29,12,42,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 13:00,2013,12,29,13,32,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 14:00,2013,12,29,14,44,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 15:00,2013,12,29,15,68,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 16:00,2013,12,29,16,43,µg/m³,1 Hr,Valid
PM2.5,2013-12-29 17:00,2013,12,29,17,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-29 18:00,2013,12,29,18,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-29 19:00,2013,12,29,19,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-29 20:00,2013,12,29,20,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-29 21:00,2013,12,29,21,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-29 22:00,2013,12,29,22,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-29 23:00,2013,12,29,23,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 00:00,2013,12,30,0,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 01:00,2013,12,30,1,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 02:00,2013,12,30,2,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 03:00,2013,12,30,3,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 04:00,2013,12,30,4,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 05:00,2013,12,30,5,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 06:00,2013,12,30,6,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 07:00,2013,12,30,7,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 08:00,2013,12,30,8,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 09:00,2013,12,30,9,-999,µg/m³,1 Hr,Missing
PM2.5,2013-12-30 10:00,2013,12,30,10,34,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 11:00,2013,12,30,11,25,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 12:00,2013,12,30,12,27,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 13:00,2013,12,30,13,25,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 14:00,2013,12,30,14,25,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 15:00,2013,12,30,15,25,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 16:00,2013,12,30,16,25,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 17:00,2013,12,30,17,36,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 18:00,2013,12,30,18,36,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 19:00,2013,12,30,19,64,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 20:00,2013,12,30,20,67,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 21:00,2013,12,30,21,72,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 22:00,2013,12,30,22,88,µg/m³,1 Hr,Valid
PM2.5,2013-12-30 23:00,2013,12,30,23,84,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 00:00,2013,12,31,0,87,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 01:00,2013,12,31,1,107,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 02:00,2013,12,31,2,129,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 03:00,2013,12,31,3,109,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 04:00,2013,12,31,4,113,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 05:00,2013,12,31,5,83,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 06:00,2013,12,31,6,71,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 07:00,2013,12,31,7,61,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 08:00,2013,12,31,8,50,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 09:00,2013,12,31,9,48,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 10:00,2013,12,31,10,41,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 11:00,2013,12,31,11,34,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 12:00,2013,12,31,12,28,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 13:00,2013,12,31,13,22,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 14:00,2013,12,31,14,19,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 15:00,2013,12,31,15,16,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 16:00,2013,12,31,16,21,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 17:00,2013,12,31,17,15,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 18:00,2013,12,31,18,22,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 19:00,2013,12,31,19,18,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 20:00,2013,12,31,20,23,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 21:00,2013,12,31,21,20,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 22:00,2013,12,31,22,23,µg/m³,1 Hr,Valid
PM2.5,2013-12-31 23:00,2013,12,31,23,24,µg/m³,1 Hr,Valid
